"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"clofibric acid","Clofibric acid","PTX041","Set of first 50 chemicals","C10H11ClO3",,"214.6481","882-09-7","DTXSID1040661","TXCGAZHTZHNUAI-UHFFFAOYSA-N","CC(C)(C(=O)O)Oc1ccc(cc1)Cl",,,,"Soluble","0.00368978","792.0042664","COMPTOX",,,"1.292","COMPTOX","1.66E-9","6.79E-8","COMPTOX (Opera)",,,,,,,,"PPARalpha agonist",,"Lipid lowering agent","Metabolism",,,"2.5",,"1.25890956306176E-5","0.999987410904369",,,,,"Drillia et al. 2005","2.57",,,,,"2.57","experimental Hansch,C et al. (1995)",,,"Kow QSAR","1.83002824326638","LSERD for neutral and COSMO for charged","2.2447",,"1.4861","0.486149203585505","2560.1890700960757","1045.6271240589926","1063.9869588527072","2331.7238932307946","2033.0202214066082","11237.324989264449","2560.1890700960757",,,,">280000","LC50 (Kehrer et al. 2008, ECHA ZF database)","no cytotoxicity","not active",,,,,,"LC-MS/MS","toxicokinetic already characterized by Brox et al.","?","yes","Brox et al.; 2014",,,,,"3247.695515",,,,"6.03","1294.328043"," Baseline x1.99fold","No","Visual + UV Absorbance","DMSO","yes","Acid pH","NaOH 1N","±1 µL for 15 mL solution","/","0.977","1.06","LC-MS/MS",,,,,,,,,,,,,,,,"6030"
"Carbendazim","Carbendazim","PTX042","Set of first 50 chemicals","C9H9N3O2",,"191.189","10605-21-7","DTXSID4024729","TWFZGCMQGLPBSX-UHFFFAOYSA-N","COC(=O)Nc1[nH]c2ccccc2n1",,,,"Soluble","9.08E-4","173.5653892","COMPTOX",,,"1.364","COMPTOX","1.4E-9","5.74E-8","COMPTOX (Opera)",,,,,,,,"Tubulin inhibitor",,"Cytostatic","Cytotoxicity (non-baseline)",,,"10.59","4.46","0.998853163123416",,"0.00114683687658377",,,,"UFZ; Sirius T3","1.52",,,,,"1.52","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","1.65475151007058","Kow-QSAR (?mw=1)","1.31",,"0.7196","0.719151510070579","3817.64907718363","1455.8068607599464","1456.1924450680626","3233.3392692293864","2640.7118935334406","14339.370557595481","3817.64907718363",,,,">64","LC50 (Truong et al. 2014, ECHA ZF database","2.55E-6","not active",,,,,,"LC-MS/MS","?","5500 QTRAP system","yes","Lazartigues et al., 2011.",,,,,"3642.779685",,,,"0.06","11.47134"," Baseline x0.02fold","No","Visual + UV Absorbance","Water","no","/","/","/","/",,"1.243","LC-MS/MS",,,,,,,,,,,,,,,,
"Tributyltin","Tributyltin","PTX043","Set of first 50 chemicals","C12H28Sn",,"291.066","688-73-3","DTXSID0040709"," DBGVGMSCBYYSLD-UHFFFAOYSA-N","CCCC[SnH](CCCC)CCCC",,,,"?","2.51E-8","0.007305757","COMPTOX",,,"-",,"-",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","3.330178202"," Hunziker and Escher 2001 (note higher affinity of cation to liposome)","1.31",,"-0.39","-0.39","83.77676379362677","61.55365901330045","116.09824625605684","142.08742912787707","216.79263553950761","1394.9940845411713","216.79263553950761","0.5","0.461751459",,"2.2","LC50 (Truong et al. 2014, ECHA ZF database",,,,,,,,"LC-MS/MS","?","triple-quadrupole MS","yes","Camino-Sanchez et al., 2012",,"Tributyltin chloride","1461-22-9","325.4883","308.1231056","DTXSID is for the hydride. Use MW of the chloride to calculate mg/L from molar concentrations for exposure solutions",,,"0.42","122.24772"," Baseline x1.98fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.789","0.907","LC-MS/MS",,,,,,,,,,,,,,,,"420"
"Picoxystrobin","Picoxystrobin","PTX044","Set of first 50 chemicals","C18H16F3NO4",,"367.319","117428-22-5","DTXSID9047542","IBSNKSODLGJUMQ-SDNWHVSQSA-N","CO/C=C(\c1ccccc1COc2cccc(n2)C(F)(F)F)/C(=O)OC",,,,"?","4.13E-5","15.1720011","COMPTOX",,,"1.279","COMPTOX","3.9E-9","1.59E-7","COMPTOX (Opera)",,,,,,,,,,,,,,,"-1.14","0.999999997115969",,"2.88403149480896E-9",,,,"ACD pKa/GALAS","3.28",,,,,"3.28","PP-LFER, Ulrich, N., Endo, S., Brown, T.N., Watanabe, N., Bronner, G., Abraham, M.H., Goss, K.-U., UFZ-LSER database v 3.2.1 [Internet], Leipzig, Germany, Helmholtz Centre for Environmental Research-UFZ. 2017 [accessed on 11.08.2023]. Available from http://www.ufz.de/lserd ","2.91",,"  (LSERD eq.1)","2.90999999887273","LSERD, eq. 1  (?mw=1)","2.77",,"2.3","2.29999999887273","218.32325674564134","136.08178612588495","199.95070584513954","311.09999269653247","405.8074359670039","2502.418837747772","405.8074359670039",,,,"0.138","Birke and Scholz (2018)",,,,,,,,"LC-MS/MS","?","qTOF; triple-quadrupole MS","yes","pubchem; Gao et al., 2019",,,,,"229.063972",,,,"0.56","205.69864"," Baseline x4.49fold","No","Visual + UV Absorbance","DMSO","yes","Acid pH","NaOH 0.1N","±1 µL for 15 mL solution","/","1.075","0.877","LC-MS/MS",,,,,,,,,,,,,,,,"560"
"Butoxyethanol","2-Butoxyethanol","PTX045","Set of first 50 chemicals","C6H14O2",,"118.176","111-76-2","DTXSID1024097","POAOYUHQDCAZBD-UHFFFAOYSA-N","CCCCOCCO",,,,"Soluble","2.4","283622.4","COMPTOX",,,"0.911","COMPTOX","1.59E-6","6.5E-5","COMPTOX (Opera)",,,,,,,,"Baseline Toxicity (Membrane interaction)","Klüver et al. 2016",,,,,"14.9",,"0.999999968377224","3.16227756202991E-8",,,,,"ACD pKa/GALAS","0.83",,,,,"0.83","Vaes et al. 1997b","0.62",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.595","Vaes et al. 1997b","1.31",,"-0.27","-0.270000012360238","42751.36639886978","10767.131074439729","13149.102553947654","23337.2672703376","12836.304181257497","62606.58284056603","42751.36639886978",,,,">64","LC50 (Truong et al. 2014, ECHA ZF database",,,,,,,,,,,,,,,,,"24974.64308",,,,"84.6195505","10000"," Baseline x2fold","No","Visual","Water","no","/","/","/","/",,,,,,,,,,,,,,,,,,,
"HC yellow 13","HC Yellow no. 13","PTX057","steatosis/liver tox case study","C9H9F3N2O3",,"250.177","10442-83-8","DTXSID10146483","NJZCRXQWPNNJNB-UHFFFAOYSA-N","OCCNC1=C(C=C(C=C1)C(F)(F)F)[N+]([O-])=O","N+",,,"Soluble","9.87E-5","24.68541491","COMPTOX","0.001995262","499.1687402","1.427","COMPTOX","3.0E-10","1.23E-8","COMPTOX",,,,,,"steatosis49","ONTOX_Riskhunt3r",,,,,,"2.52","15.7",,"0.999999994988128","5.01187225054878E-9",,,,,"ACD pKa/GALAS",,,,,,"2.2581625","mean of ACD consensus and KOWWIN",,,"Kow QSAR","2.40074412304103","Kow-QSAR (?mw=1)","2.023295375",,"1.258458625","1.25845862304103","697.049015571309","355.9506735794828","417.16005978627794","804.2614644708672","867.5965338124996","5081.015850102275","867.5965338124996",,,,,,,,,,,,,,,,,,,,,,,,,,"0.664849287","166.33"," Baseline x0.36fold","No","Visual","DMSO","no","/","/","Overnight stirring after resolubilization",,"0.84","0.9","LC-MS/MS",,,,,,,,,,,,,,,,"664.849287"
"Tamoxifen","Tamoxifen","PTX058","steatosis/liver tox case study","C26H29NO",,"371.524","10540-29-1","DTXSID1034187","NKANXQFJJICGDU-QPLCGJKRSA-N","CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1",,,,,"4.81E-6","1.787242209","COMPTOX","7.24e-05","26.91453456","1.047","COMPTOX","2.23E-8","9.12E-7","COMPTOX",,,,,,"steatosis","ONTOX_Riskhunt3r",,,,,,"6.57",,"8.62","0.0568315208400974",,"0.943168479159903",,,,"UFZ; Sirius T3","7.07",,,,,"7.07","PP-LFER, Ulrich, N., Endo, S., Brown, T.N., Watanabe, N., Bronner, G., Abraham, M.H., Goss, K.-U., UFZ-LSER database v 3.2.1 [Internet], Leipzig, Germany, Helmholtz Centre for Environmental Research-UFZ. 2017 [accessed on 11.08.2023]. Available from http://www.ufz.de/lserd ","6.56",,"  (LSERD eq.1)","5.73940346448736","LSERD, eq. 1  (?mw=1)","5.44",,"5.43","4.60940346448735","0.34513624530611703","0.6511621660021673","12.095956497500715","1.5888510809106515","5.954791434681119","48.91029783746268","12.095956497500715",,,,,,"no cytotoxicity","not active",,,,,,,,,,"Include despite DlipW (endocrine compound)",,,,,,,,,"0.030415263","11.3"," Baseline x0.74fold","No","Visual","DMSO","no","/","/","Need some prolonged sitrring",,"1.53","1.5","LC-MS/MS",,,,,,,,,,,,,,,,"30.415263"
"N,N?Dimethylacetamide (DMA)","N,N-Dimethylacetamide","PTX059","steatosis/liver tox case study","C4H9NO",,"87.122","127-19-5","DTXSID5020499","FXHOOIRPVKKKFG-UHFFFAOYSA-N","CN(C)C(C)=O",,,,"Soluble","11.8857","1035505.955","COMPTOX","7.079457844","616776.5263","0.894","COMPTOX","1.31E-8","5.36E-7","COMPTOX",,,,,,"Steatohepatitis (TASH) , fatty change 3","ONTOX_Riskhunt3r",,,,,,"-0.75",,"-0.3","0.999999980047377",,"1.99526227515816E-8",,,,"ACD pKa/GALAS","-0.77",,,,,"-0.77","experimental Hansch,C et al. (1995)",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.657700007798783","Kow-QSAR (?mw=1)","1.31",,"-0.9521","-0.952100007798783","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"1765.870317","153846.1538"," Baseline x2.37fold","No","Visual","Water","no","/","/","/","/","0.81","0.99","LC-MS/MS",,,,,,,,,,,,,,,,
"atrazine (ATZ)","Atrazine","PTX060","steatosis/liver tox case study","C8H14ClN5",,"215.69","1912-24-9","DTXSID9020112","MXWJVTOOROXGIU-UHFFFAOYSA-N","CCNC1=NC(NC(C)C)=NC(Cl)=N1",,,,"Soluble","1.99E-4","42.82460243","COMPTOX","0.000324","69.79591586","1.236","COMPTOX","1.24E-8","5.07E-7","COMPTOX",,,,,,"Steatohepatitis (with elevated (or unknown)Â transaminases) 3; Cholestasis 22-24","ONTOX_Riskhunt3r",,,,,,"2.63",,"1.7","0.999998004741666",,"1.99525833390511E-6",,,,"ACD pKa/GALAS","2.61",,,,,"2.61","experimental  PhysPropNCCT",,,"experimental, Endo 2011","2.14","LSERD, cited in Escher 2017","1.77",,"1.59","1.59","1262.9902560699356","582.3713479437514","629.9451481871362","1307.9766770089323","1280.2064177235088","7301.969254711389","1307.9766770089323",,,,,,"7.6E-5","not active",,,,,,,,,,,,,,,,,,,"0.212","45.72628"," Baseline x0.12fold","No","Visual","Water","no",,,,,,,,,,,,,,,,,,,,,,,
"Imazalil","Imazalil","PTX061","steatosis/liver tox case study","C14H14Cl2N2O",,"297.18","35554-44-0","DTXSID8024151","PZBPKYOVPCNPJY-UHFFFAOYSA-N","ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C",,,,"Soluble","6.13E-4","182.3023964","COMPTOX","0.000851138","252.9412022","1.267","COMPTOX","1.32E-5","5.4E-4","COMPTOX",,,,,,"steatosis","ONTOX_Riskhunt3r",,,,,,"3.49",,"6.78","0.806527522817108",,"0.193472477182892",,,,"UFZ; Sirius T3","3.82",,,,,"3.82","experimental Tomlin et al. (1994)",,,"Kow QSAR","3.89511419915014","Kow-QSAR (?mw=1)","3.1322",,"2.3986","2.31551419915014","23.11196881493376","21.183921415788593","60.552449287347805","49.540170699139665","93.31812388892358","635.8446532648233","93.31812388892358",,,,,,"5.2E-5","not active",,,,,,,,,,"KAW, still use (slightly above threshold, check by stability analysis)",,,,,,,,,"0.148058416","44"," Baseline x1.27fold","No","Visual","DMSO","no","/","/",,"HEPES 10 ","1","1","LC-MS/MS",,,,,,,,,,,,,,,,"148.058416"
"Cyclosporin A","Cyclosporin A","PTX062","steatosis/liver tox case study","C62H111N11O12",,"1202.635","59865-13-3","DTXSID0020365","PMATZTZNYRCHOR-CGLBZJNRSA-N","[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C",,,,,"5.36E-6","6.44371833","COMPTOX","0.831763771","1000308.223","0.999","COMPTOX","2.26E-11","9.26E-10","COMPTOX",,,,,,"steatosis","ONTOX_Riskhunt3r",,,,,,"3.35","10.34;10.88;11.49;12.58;14.66",,"1",,,,,,"ACD pKa/GALAS","2.92",,,,,"2.92","experimental  PhysPropNCCT",,,"Kow QSAR","3.0692","Kow-QSAR (?mw=1)","2.4932",,"1.7416","1.7416","151.8769964997488","100.75253915607297","161.69757621148602","231.17879730003645","320.00620538337967","2005.4101097831483","320.00620538337967",,,,,,,,,,,,,,,,,,,,,,,,,,"0.041575374","50"," Baseline x0.12fold","No","Visual","DMSO","no","/","/",,,"1.18","0.62","LC-MS/MS",,,,,,,,,,,,,,,,"41.575374"
"Tetracycline","Tetracycline","PTX063","steatosis/liver tox case study","C22H24N2O8",,"444.44","60-54-8","DTXSID7023645","OFVLGDICTFRJMM-WESIUVDSSA-N","[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O",,,,"Insoluble","9.48E-4","421.1740104","COMPTOX","0.014125375","6277.881863","1.718","COMPTOX","1.28E-11","5.22E-10","COMPTOX",,,,,,"steatosis","ONTOX_Riskhunt3r",,,,,,"-4.26","3.47;7.44","9.1","0.518047388422514","0.472464833541355",,"neutral iszwitterion","0.00942691277513111","6.08652610000419E-5","UFZ; Sirius T3","-1.3",,,,,"-1.3","experimental  PhysPropNCCT","-1.12",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-0.61","-0.856997422537524","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,"Tetracycline hydrochloride","64-75-5","480.9",,"Use MW of hydrochloride to calculate mg/L from molar concentrations for exposure solutions.",,,"1.738517385","772.6666667"," Baseline x0fold","No","Visual","Water","yes","Acid pH","NaOH 0.1N","13 µL (15 mL ISO) to set normal - Then turn into a foggy solution","HEPES 10 mM","0.41","0.13","LC-MS/MS",,,,,,,,,,,,,,,,
"Toluene-2,5-diamine","2-Methylbenzene-1,4-diamine","PTX064","steatosis/liver tox case study","C7H10N2",,"122.171","95-70-5","DTXSID6029123","OBCSAIDCZQSFQH-UHFFFAOYSA-N","CC1=C(N)C=CC(N)=C1","NH3",,,"Soluble","0.310823","37973.55673","COMPTOX","0.660693448","80717.57924","1.131","COMPTOX","5.73E-8","2.34E-6","COMPTOX",,,,,,"steatosis49","ONTOX_Riskhunt3r",,,,,,"-0.24",,"3.26;6.22","0.938025284074642",,"0.0619747159253579",,,,"UFZ; Sirius T3",,,,,,"0.11075","comptox.epa.gov/dashboard",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.20693196267181","Kow-QSAR (?mw=1)","1.31",,"-0.3091525","-0.33407803732819","103546.96091611247","22403.4958247897","34128.45678979685","48126.59214071711","22903.82876826196","107402.17950138556","103546.96091611247",,,,,,,,,,,,,,,,,,,"2,5-Diaminotoluene sulfate","615-50-9","220.24",,"Use MW of purchased form for calclations of mg/L exposure concentrations.",,,"26.60205777","3250"," Baseline x1.04fold","No","Visual","Water","yes","Acid pH","NaOH 0.1N","pH acidic 120 µL for 15 mL ISO - Need some prolonged stirring",,,,,,,,,,,,,,,,,,,,
"N,N-Dimethylformamide (DMF)","N,N-Dimethylformamide","PTX065","steatosis/liver tox case study","C3H7NO",,"73.095","68-12-2","DTXSID6020515","ZMXDDKWLCZADIW-UHFFFAOYSA-N","CN(C)C=O",,,,"Soluble","13.691","1000743.645","COMPTOX","13.80384265","1008991.878","0.947","COMPTOX","7.36E-8","3.01E-6","COMPTOX",,,,,,"Steatosis, steatohepatitis, fibrosis, cirrhosis, and cancer, elevations in AST and ALT, NAFLD 3","ONTOX_Riskhunt3r",,,,,,"-1.01",,"-0.3","1",,,,,,"ACD pKa/GALAS","-1.01",,,,,"-1.01","experimental  PhysPropNCCT","-0.75",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.75","LSERD, eq. 1  (?mw=1)","1.31",,"-1.6","-1.6","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"2736.165264","200000"," Baseline x2.12fold","No","Visual","Water","no","/","/","/","/","0.76","0.81","LC-MS/MS",,,,,,,,,,,,,,,,
"N,N'-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine","N,N'-Bis(2-hydroxyethyl)-2-nitro-p-phenylenediamine","PTX066","steatosis/liver tox case study","C10H15N3O4",,"241.247","84041-77-0","DTXSID90232939","HWQZRURILVPDGN-UHFFFAOYSA-N","OCCNC1=CC(=C(NCCO)C=C1)[N+]([O-])=O","N+",,,"Soluble","0.00158111","381.4380442","COMPTOX","0.014791084","3568.304613","1.335","COMPTOX","2.8E-9","1.15E-7","COMPTOX",,,,,,"steatosis49","ONTOX_Riskhunt3r",,,,,,"0.17","15.59","4.13;1.11","1",,,,,,"ACD pKa/GALAS",,,,,,"0.137","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.25837","Kow-QSAR (?mw=1)","1.31",,"-0.28999","-0.28999","92090.26018605739","20329.963550775356","29923.122059384918","43724.04171801218","21211.737305201896","99987.22607383953","92090.26018605739",,,,,,,,,,,,,,,,,,,,,,,,,,"14.78429438","3566.666667"," Baseline x1.54fold","No","Visual","Water","yes","/","/","/","/","1.02","0.97","LC-MS/MS",,,,,,,,,,,,,,,,
"Cyproconazole","Cyproconazole","PTX067","steatosis/liver tox case study","C15H18ClN3O",,"291.78","94361-06-5","DTXSID0032601","UFNOUKDBUJZYDE-UHFFFAOYSA-N","CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1",,,,"Soluble","4.29E-4","125.2112596","COMPTOX","0.000112202","32.73825446","1.293","COMPTOX","5.0E-10","2.04E-8","COMPTOX",,,,,,"steatosis","ONTOX_Riskhunt3r",,,,,,"2.7","14.64","1.49","1",,,,,,"ACD pKa/GALAS","2.9",,,,,"2.9","experimental  PhysPropNCCT","2.73",,"  (LSERD eq.1)","2.73","LSERD, eq. 1  (?mw=1)","2.34",,"1.89","1.89","329.0788720121735","191.16131087399788","256.7148328789987","435.2111366239773","530.8355502183801","3214.252571314886","530.8355502183801",,,,,,"no cytotoxicity","5.46E-5",,,,,,,,,,,,,,,,,,,"0.438686682","128"," Baseline x1.26fold","No","Visual","DMSO","no","/","/","/","/","0.99","1","LC-MS/MS",,,,,,,,,,,,,,,,"438.686682"
"o-Aminophenol","2-Aminophenol","PTX068","steatosis/liver tox case study","C6H7NO",,"109.128","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N","NC1=C(O)C=CC=C1",,,,"Soluble","0.186017","20299.66318","COMPTOX","0.181970086","19858.03153","1.203","COMPTOX","4.94E-8","2.02E-6","COMPTOX",,,,,,"steatosis49","ONTOX_Riskhunt3r",,,,,,"0.44","9.77","4.79","0.993324359565236","0.00423731827317239","0.0024383221615919",,,,"UFZ; Sirius T3","0.62",,,,,"0.62","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.743582855678581","Kow-QSAR (?mw=1)","1.31",,"0.0626","-0.92797251957121","30468.63322405125","8133.211355629886","9334.178562920972","17688.780259329786","10283.911001083941","50918.541482438515","30468.63322405125",,,,,,,,,,,,,,,,,,,,,,,,,,"22.90887765","2500"," Baseline x0.76fold","No","Visual","Water","yes","/","/","Need some prolonged stirring","/","0.79","0.44","LC-MS/MS",,,,,,,,,,,,,,,,
"tigecycline ","Tigecycline","PTX069","steatosis/liver tox case study","C29H39N5O8",,"585.658","220620-09-7","DTXSID2048581","FPZLLRFZJZRHSY-HJYUBDRYSA-N","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O",,,,"Insoluble","3.4E-4","199.3626685","COMPTOX","0.00676083","3959.534032","1.581","COMPTOX","1.33E-11","5.45E-10","COMPTOX",,,,,,"Non-hepatotoxic: ","ONTOX_Riskhunt3r",,,,,,"-3.92","3.07;7.31","4.57;8.4;9.15","0.522785469778762","0.0522785469778764","0.424935983243361","neutral iszwitterion",,,"UFZ; Sirius T3",,,,,,"-0.1265","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.251504081279101","Kow-QSAR (?mw=1)","1.31",,"-0.482345","-0.798899544301096","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"5.998950468","3513.333333"," Baseline x0fold","No","Visual","Water","yes","pH not checked - Amount too low","/",,"HEPES 10 mM","0.51","1.07","LC-MS/MS",,,,,,,,,,,,,,,,
"Rotenone  ","Rotenone","PTX070","steatosis/liver tox case study","C23H22O6",,"394.423","83-79-4","DTXSID6021248","JUVIOZPCNVVQFO-HBGVWJBISA-N","[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C",,,,,"2.48E-5","9.79403584","COMPTOX","6.92e-07","0.272874047","1.293","COMPTOX","1.8E-9","7.36E-8","COMPTOX",,,,,,"Hepatotoxic non-steatotic chemicals ","ONTOX_Riskhunt3r",,,,,,"4.65",,,"1",,,,,,,"4.1",,,,,"4.1","Yalkowsky et al. Chemosphere 2002, 48, 487–509","4.22",,"  (LSERD eq.1)","4.22","LSERD, eq. 1  (?mw=1)","3.54",,"3.34","3.34","11.02046703963032","11.470966197735576","43.23503086090267","27.027134319428153","57.46984158403649","404.6876955930757","57.46984158403649",,,,,,,,,,,,,,,,,,,,,,,,,,"0.014324722","5.65"," Baseline x0.16fold","No","Visual","DMSO","no","/","/","Need ultrasonication","/","0.98","1.03","LC-MS/MS",,,,,,,,,,,,,,,,"14.324722"
"Acetaminophen","Acetaminophen","PTX072","steatosis/liver tox case study","C8H9NO2","ECVAM, Sept 2022 ONTOX list hepatotoxicants","151.165","103-90-2","DTXSID2020006","RZVAJINKPMORJF-UHFFFAOYSA-N","CC(=O)NC1=CC=C(O)C=C1",,,,,"0.0933539","0.014111842","COMPTOX (OPERA)","0.117489755","0.017760339","1.199","COMPTOX",,"5.74E-9","COMPTOX",,,,,,,,,,,,,"0.34","10.2;14.6","1.7","0.999998004741666",,"1.99525833390511E-6",,,,"ACD pKa/GALAS","0.46",,,,,"0.46","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.584599220122584","Kow-QSAR (?mw=1)","1.31",,"-0.0542","-0.0542007798774162","43777.07818607423","10980.664931302075","13474.424564812422","23794.3930749916","13037.061233525958","63518.76873896001","43777.07818607423",,,,,,"0.0116","0.00363",,,,,,,,,,,,,,,,,,,"32.07290047","4848.3"," Baseline x2fold","No","Visual","Water","no",,,,,,,,,,,,,,,"Acetaminophen","DB00316","According to its FDA labeling, acetaminophen's exact mechanism of action has not been fully established[Label] - despite this, it is often categorized alongside NSAIDs (nonsteroidal anti-inflammatory drugs) due to its ability to inhibit the cyclooxygenase (COX) pathways.[T518] It is thought to exert central actions which ultimately lead to the alleviation of pain symptoms.[T518]

One theory is that acetaminophen increases the pain threshold by inhibiting two isoforms of cyclooxygenase, COX-1 and COX-2, which are involved in prostaglandin (PG) synthesis. Prostaglandins are responsible for eliciting pain sensations.[A176366] Acetaminophen does not inhibit cyclooxygenase in peripheral tissues and, therefore, has no peripheral anti-inflammatory effects. Though acetylsalicylic acid (aspirin) is an irreversible inhibitor of COX and directly blocks the active site of this enzyme, studies have shown that acetaminophen (paracetamol) blocks COX indirectly.[F4133] Studies also suggest that acetaminophen selectively blocks a variant type of the COX enzyme that is unique from the known variants COX-1 and COX-2.[A468] This enzyme has been referred to as _COX-3_. The antipyretic actions of acetaminophen are likely attributed to direct action on heat-regulating centers in the brain, resulting in peripheral vasodilation, sweating, and loss of body heat.[F4133] The exact mechanism of action of this drug is not fully understood at this time, but future research may contribute to deeper knowledge.[F4133]",,,,,"Neale et al. 2020",
